track_name,danceability,energy,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,explicit,track_popularity,pop_rank,pop_denserank,track_duration
cowboy like me,0.603999972,0.51700002,-9.013999939,1,0.034699999,0.768000007,0.000155,0.123000003,0.510999978,127.9670029,1,71,101,21,04:35.0
Hey Stephen (Taylor’s Version),0.787999988,0.57099998,-6.135000229,1,0.0296,0.105999999,0.00E+00,0.093400002,0.796999991,115.9899979,0,71,101,21,04:14.0
Welcome To New York (Taylor's Version),0.757000029,0.610000014,-4.840000153,1,0.032699998,0.00942,3.66E-05,0.367000014,0.685000002,116.9980011,0,71,101,21,03:32.0
Stay Stay Stay (Taylor's Version),0.693000019,0.680999994,-7.039000034,1,0.025,0.084799998,0,0.076800004,0.662999988,100.0199966,0,71,101,21,03:25.0
Holy Ground (Taylor's Version),0.621999979,0.809000015,-5.623000145,1,0.0638,0.0288,0.00218,0.108999997,0.510999978,156.8939972,0,71,101,21,03:22.0
I Almost Do (Taylor's Version),0.510999978,0.559000015,-6.586999893,1,0.0264,0.0167,0.00E+00,0.112999998,0.247999996,145.8800049,0,71,101,21,04:04.0
ivy,0.514999986,0.545000017,-9.277000427,1,0.035300002,0.855000019,1.97E-05,0.092100002,0.535000026,88.85600281,1,71,101,21,04:20.0
Midnight Rain,0.653999984,0.372000009,-11.70400047,1,0.066699997,0.704999983,6.78E-05,0.114,0.197999999,140.1499939,0,71,101,21,02:54.0
coney island (feat. The National),0.537,0.537,-11.26599979,1,0.061700001,0.819000006,0.000904,0.142000005,0.291999996,107.8949966,0,71,101,21,04:35.0
Lavender Haze,0.735000014,0.453999996,-10.51599979,0,0.0876,0.236000001,1.13E-03,0.133000001,0.075099997,97.04299927,1,71,101,21,03:22.0
mad woman,0.592999995,0.699999988,-9.015999794,1,0.049199998,0.670000017,6.77E-06,0.115999997,0.451000005,141.897995,1,71,101,21,03:57.0
Bejeweled,0.694999993,0.546000004,-9.184000015,1,0.066,0.064800002,0.000128,0.088299997,0.425000012,164,0,71,101,21,03:14.0
Innocent (Taylor's Version),0.522000015,0.59799999,-5.327000141,0,0.0284,0.101000004,0,0.151999995,0.149000004,133.6269989,0,71,101,21,05:01.0
The Other Side Of The Door (Taylor’s Version),0.432000011,0.873000026,-4.367000103,1,0.057700001,0.027899999,0.00E+00,0.166999996,0.629000008,163.9360046,0,70,119,22,03:58.0
hoax,0.675999999,0.178000003,-15.01000023,1,0.0394,0.963999987,7.90E-06,0.135000005,0.404000014,118.8399963,0,70,119,22,03:40.0
Vigilante Shit,0.866999984,0.272000015,-11.01399994,0,0.363000005,0.157000005,3.42E-05,0.118000001,0.157000005,79.96199799,1,70,119,22,02:44.0
Clean (Taylor's Version),0.772000015,0.391000003,-8.892000198,1,0.029300001,0.25,2.92E-05,0.098099999,0.257999986,103.9550018,0,70,119,22,04:31.0
The Moment I Knew (Taylor's Version),0.635999978,0.40200001,-7.855000019,1,0.030999999,0.049400002,0.00E+00,0.107000001,0.208000004,125.9520035,0,70,119,22,04:45.0
Wildest Dreams (Taylor's Version),0.588999987,0.674000025,-7.480000019,1,0.0656,0.0436,7.18E-05,0.112000003,0.513999999,139.9850006,0,70,119,22,03:40.0
I Know Places (Taylor's Version),0.582000017,0.787999988,-5.357999802,1,0.044500001,0.0999,0,0.115000002,0.65200001,160.0269928,0,70,119,22,03:15.0
Mastermind,0.661000013,0.344999999,-14.0369997,1,0.143999994,0.545000017,0.000915,0.087099999,0.126000002,125.9769974,0,70,119,22,03:11.0
